Uniprot,score_alpha,score_topm,res_length,SS,pLDDT,proQ3D,qmean,EC
A2RSX7,0.2709,0.3836,315,37.3,96.37999227799192,0.2759,0.2255,1.14.11.42
A2RVV7,0.2167,0.1795,352,36.1,89.68839520060071,0.2833,0.2207,1.5.1.5
A3KP59,0.3202,0.2863,544,54.8,87.43714483714415,0.3148,0.2729,1.14.11.27
A5H453,0.27,0.2493,321,29.2,95.06182763100882,0.3319,0.2252,1.11.1.7
A5H454,0.2774,0.2683,320,28.1,95.03832194705384,0.3118,0.2224,1.11.1.7
A7RDN6,0.1895,0.2038,342,41.4,96.62328148710108,0.2582,0.1751,1.6.3.5
F4I907,0.176,0.2479,282,40.5,96.78427742870936,0.2424,0.2,1.1.1.79
F4JJJ3,0.2768,0.2794,580,64.1,90.0032526178016,0.3288,0.2182,1.6.5.9
F4KAS1,0.2429,0.3482,256,27.4,89.6482025193797,0.2681,0.2175,1.14.20.6
I6Y778,0.2129,0.2018,454,42.4,94.37091322815544,0.2691,0.2137,1.1.1.212
O07737,0.2171,0.273,371,40.2,91.32658845437606,0.3015,0.1955,1.1.1.1
O08756,0.2121,0.2654,261,35.2,95.80147226542252,0.2697,0.1973,1.1.1.35
O13755,0.1691,0.2935,471,54.5,96.22387858347368,0.2264,0.1846,1.3.1.6
O13848,0.2296,0.3074,284,34.9,95.97774527452744,0.2809,0.2003,1.1.1.190
O14121,0.28,0.3459,503,52.2,91.71105473631532,0.3377,0.2172,1.6.5.9
O14295,0.2009,0.3362,333,35.5,95.54972629144169,0.2607,0.1814,1.1.1.65
O15254,0.2576,0.3159,685,81.3,95.23127722956647,0.2853,0.22,1.3.3.6
O15528,0.2141,0.2316,464,52.2,90.6569355726876,0.2574,0.2001,1.14.15.18
O22854,0.2195,0.3033,537,59.7,96.6624110109165,0.2638,0.2014,1.5.5.1
O23240,0.2346,0.2551,463,56.0,96.41039370078776,0.2982,0.1963,1.1.99.39
O23887,0.2352,0.3009,1347,44.3,91.98849403481243,0.3637,0.2037,1.2.3.7
O35084,0.2261,0.2306,463,50.5,90.2476817180616,0.2668,0.2051,1.14.15.18
O35132,0.2242,0.2358,472,51.1,90.15370823145848,0.2707,0.2001,1.14.15.18
O35936,0.2043,0.1718,677,74.5,95.93035495261064,0.2424,0.201,1.13.11.58
O43488,0.1956,0.2158,317,41.4,97.53852194925476,0.2477,0.1819,1.1.1.n11
O45903,0.1999,0.2365,331,42.1,96.16313588850169,0.2626,0.1822,1.3.1.104
O45924,0.315,0.2607,431,45.2,94.42622646973636,0.3653,0.2447,1.2.4.4
O48916,0.3664,0.363,237,23.7,94.67209553158725,0.3814,0.2629,1.14.18.7
O59710,0.2342,0.2809,452,49.2,93.87659503209504,0.2797,0.201,1.18.1.6
O59858,0.201,0.2674,158,18.7,97.31705559906028,0.2421,0.2013,1.11.1.24
O62515,0.2764,0.391,312,31.1,92.39199203187226,0.3047,0.221,1.14.11.18
O64411,0.1783,0.1825,500,53.0,95.08756661639008,0.1956,0.2029,1.5.3.14
O64743,0.2296,0.208,507,61.3,95.894934063199,0.2848,0.2007,1.1.1.194
O65201,0.2436,0.2394,681,76.9,91.0614333643998,0.2812,0.218,1.3.3.6
O65271,0.1595,0.1857,287,32.4,96.8352662993571,0.2045,0.1612,1.5.1.5
O65404,0.2588,0.2982,516,56.1,90.88885469222969,0.313,0.202,1.14.14.17
O69671,0.1958,0.237,425,46.5,97.34612244897922,0.2304,0.2112,1.14.99.50
O69721,0.2657,0.2792,323,39.3,95.2050710900464,0.3407,0.2091,1.3.1.12
O70351,0.2088,0.2728,261,35.8,96.73531070496033,0.2738,0.1979,1.1.1.35
O74489,0.1817,0.2863,329,43.6,97.02385458976472,0.2504,0.1865,1.6.5.5
O75106,0.243,0.2463,756,75.0,94.00196422544732,0.3408,0.2109,1.4.3.21
O76062,0.2769,0.3463,408,42.2,94.52166095356807,0.337,0.213,1.3.1.70
O77229,0.3278,0.3593,496,51.2,97.05941999491218,0.3723,0.2458,1.11.1.6
O80988,0.2084,0.3468,1044,99.4,93.36238596491216,0.2662,0.2109,1.4.4.2
O81884,0.1726,0.2845,319,38.0,96.94552079044888,0.2302,0.1758,1.1.1.316
O88962,0.2338,0.2604,500,49.7,92.46309717097137,0.2687,0.1934,1.14.18.8
O94467,0.2012,0.2708,395,43.6,96.4254515919427,0.2338,0.2144,1.6.99.1
O94521,0.2208,0.2966,333,35.5,96.06615651503468,0.285,0.1814,1.1.1.65
O94524,0.2381,0.3213,313,31.4,96.31374571754822,0.2532,0.2294,1.8.5.1
O94671,0.1698,0.2642,376,40.9,94.36694927279189,0.2188,0.1737,1.1.1.3
O95571,0.1712,0.2141,231,27.5,97.56352743561024,0.2023,0.2,1.13.11.18
P00175,0.3351,0.2812,579,52.0,85.8347285619323,0.3332,0.2825,1.1.2.3
P00367,0.2106,0.2432,493,59.0,96.8650012983642,0.248,0.1845,1.4.1.3
P00370,0.2118,0.2305,447,53.8,95.78072098475998,0.2697,0.1799,1.4.1.4
P00431,0.2781,0.2066,336,29.2,90.70111612175845,0.2802,0.2463,1.11.1.5
P00450,0.2381,0.2336,1045,15.7,94.70313695395478,0.2699,0.2112,1.16.3.1
P04176,0.2089,0.2795,427,46.5,89.88528885037594,0.2299,0.2054,1.14.16.1
P04800,0.2514,0.2098,504,49.4,91.8001717369967,0.318,0.1937,1.14.14.1
P05050,0.2211,0.225,216,24.5,95.8823543260746,0.2739,0.1911,1.14.11.33
P05183,0.2521,0.2104,504,48.4,91.5105380835372,0.3118,0.1996,1.14.14.1
P06149,0.246,0.3642,571,57.0,93.53108232711205,0.2881,0.2011,1.1.5.12
P06168,0.3303,0.3605,340,36.0,96.54502586844028,0.3934,0.2147,1.1.1.86
P06610,0.173,0.2795,183,20.0,97.04643502432278,0.2125,0.1963,1.11.1.9
P07003,0.1925,0.1953,572,60.6,94.68196736382396,0.25,0.1791,1.2.5.1
P07014,0.3506,0.3314,238,25.7,96.55253611556974,0.4342,0.2568,1.3.5.1
P08761,0.2203,0.2784,230,24.8,95.01133260513386,0.249,0.2041,1.8.4.11
P09152,0.18,0.1802,1247,21.0,98.24265273149584,0.2082,0.2149,1.7.5.1
